name	timestamp	powerave	powermin	powermax	tempave	tempmin	tempmax	utilave	utilmin	utilmax	gmemave	gmemmin	gmemmax
cbsugpu05	2025-10-31 09:00:00.000	73.3075	69.71	75.78	35.625	34	37	0.75	0	2	0	0	0
cbsugpu05	2025-10-31 08:00:00.000	72.99625	69.8	75.55	35.5	34	37	0.25	0	2	0	0	0
cbsugpu05	2025-10-31 07:00:00.000	72.955	69.58	75.76	35.625	34	37	0.25	0	2	0	0	0
cbsugpu05	2025-10-31 06:00:00.000	73.77875	70.97	76.19	35.875	34	37	0.625	0	3	0	0	0
cbsugpu05	2025-10-31 05:00:00.000	72.98	69.76	75.81	35.75	34	37	0.25	0	2	0	0	0
cbsugpu05	2025-10-31 04:00:00.000	73.00125	69.8	76.42	36	35	37	0	0	0	0	0	0
cbsugpu05	2025-10-31 03:00:00.000	73.6525	71.41	75.98	36	35	37	1.125	0	3	0	0	0
cbsugpu05	2025-10-31 02:00:00.000	73.44875	70.9	75.96	36	35	37	0.5	0	2	0	0	0
cbsugpu05	2025-10-31 01:00:00.000	73.45375	70.72	75.96	36	35	37	0.5	0	2	0	0	0
cbsugpu05	2025-10-31 00:00:00.000	73.68625	71.2	76.18	36	35	37	1	0	2	0	0	0
cbsugpu05	2025-10-30 23:00:00.000	73.4975	70.91	76.06	36	35	37	0.75	0	2	0	0	0
cbsugpu05	2025-10-30 22:00:00.000	73.235	70.67	75.68	35.875	34	37	0.25	0	2	0	0	0
cbsugpu05	2025-10-30 21:00:00.000	73.6025	71.25	75.79	35.875	34	37	0.5	0	2	0	0	0
cbsugpu05	2025-10-30 20:00:00.000	73.58625	71.02	76.05	36	35	37	1	0	3	0	0	0
cbsugpu05	2025-10-30 19:00:00.000	72.7025	69.67	75.43	35.625	34	37	0.25	0	2	0	0	0
cbsugpu05	2025-10-30 18:00:00.000	73.605	71.26	75.69	35.75	34	37	1.125	0	3	0	0	0
cbsugpu05	2025-10-30 17:00:00.000	73.5075	70.94	75.79	35.625	34	37	0.75	0	2	0	0	0
cbsugpu05	2025-10-30 16:00:00.000	73.045	69.61	75.65	35.5	34	37	0.25	0	2	0	0	0
cbsugpu05	2025-10-30 15:00:00.000	73.00625	69.61	75.46	35.5	34	37	0.75	0	2	0	0	0
cbsugpu05	2025-10-30 14:00:00.000	72.80375	69.74	75.27	35.5	34	37	0.25	0	2	0	0	0
cbsugpu05	2025-10-30 13:00:00.000	73.375	70.83	75.46	35.5	34	37	0.75	0	2	0	0	0
cbsugpu05	2025-10-30 12:00:00.000	73.29375	70.67	75.29	35.375	34	37	0.75	0	2	0	0	0
cbsugpu05	2025-10-30 11:00:00.000	73.3925	70.77	76.62	35	33	37	0.75	0	2	0	0	0
cbsugpu05	2025-10-30 10:00:00.000	72.0375	69.35	74.3	33.25	31	36	0.5	0	2	0	0	0
cbsugpu05	2025-10-30 09:00:00.000	71.32375	68.62	73.62	32.25	31	34	0.25	0	2	0	0	0
cbsugpu05	2025-10-30 08:00:00.000	71.8425	69.92	73.73	32.5	31	34	0	0	0	0	0	0
cbsugpu05	2025-10-30 07:00:00.000	71.5225	68.62	73.47	32.375	31	33	0.25	0	2	0	0	0
cbsugpu05	2025-10-30 06:00:00.000	71.72	68.7	73.75	32.875	31	34	0.5	0	2	0	0	0
cbsugpu05	2025-10-30 05:00:00.000	72.37875	69.8	75.25	34.5	32	37	0.25	0	2	0	0	0
cbsugpu05	2025-10-30 04:00:00.000	73.055	69.76	75.23	35.5	34	37	0.5	0	2	0	0	0
cbsugpu05	2025-10-30 03:00:00.000	73.18125	69.81	75.7	35.625	34	37	0.625	0	3	0	0	0
cbsugpu05	2025-10-30 02:00:00.000	73.39	70.89	75.32	35.5	34	37	1	0	2	0	0	0
cbsugpu05	2025-10-30 01:00:00.000	73.14875	70.59	75.41	35.5	34	37	0.5	0	2	0	0	0
cbsugpu05	2025-10-30 00:00:00.000	73.43875	71.15	75.51	35.5	34	37	1.125	0	3	0	0	0
cbsugpu05	2025-10-29 23:00:00.000	73.3275	71.12	75.51	35.625	34	37	1	0	2	0	0	0
cbsugpu05	2025-10-29 22:00:00.000	45.205	11.66	78.43	34.5	31	38	2.125	0	6	0	0	0
cbsugpu05	2025-10-29 21:00:00.000	45.7775	11.99	79.26	34.875	31	40	3.125	0	7	0	0	0
cbsugpu05	2025-10-29 20:00:00.000	66.17875	12.13	78.05	36.125	31	39	0.75	0	6	0	0	0
cbsugpu05	2025-10-29 19:00:00.000	73.77875	70.77	76.46	36.75	36	38	0.25	0	2	0	0	0
cbsugpu05	2025-10-29 18:00:00.000	73.92875	71.27	76.42	36.75	36	38	1	0	2	0	0	0
cbsugpu05	2025-10-29 17:00:00.000	73.66	69.84	76.26	36.875	36	38	0.75	0	2	0	0	0
cbsugpu05	2025-10-29 16:00:00.000	73.6075	69.64	77.88	35.875	34	37	0.5	0	2	0	0	0
